,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
104,@CBS,Tue Sep 25 19:45:33 +0000 2018,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,0.7901,0.291,0.709,0.0,5
105,@CBS,Tue Sep 25 18:34:26 +0000 2018,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",0.0,0.0,1.0,0.0,6
106,@CBS,Tue Sep 25 18:05:31 +0000 2018,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",0.0,0.0,1.0,0.0,7
107,@CBS,Mon Sep 24 18:56:15 +0000 2018,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",0.0,0.0,1.0,0.0,8
108,@CBS,Sun Sep 23 23:24:03 +0000 2018,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Prov… https://t.co/fejqoxtvSY",-0.2263,0.0,0.913,0.087,9
109,@CBS,Sun Sep 23 14:00:00 +0000 2018,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/kbo7N27mY9,0.0,0.0,1.0,0.0,10
110,@CBS,Fri Sep 21 19:18:00 +0000 2018,"How does $100,000 sound? Because someone is going to win all that tonight on the @TKOCBS Battle Royale finale at 9p… https://t.co/JEuUZ2QlQh",0.296,0.144,0.758,0.098,11
111,@CBS,Fri Sep 21 17:46:26 +0000 2018,@colbertlateshow @IainLoveTheatre @IainLoveTheatre made a compelling argument. We'll get back to you. 😉,-0.1531,0.142,0.672,0.187,12
112,@CBS,Thu Sep 20 23:17:19 +0000 2018,"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's noto… https://t.co/xvhlMWBhSX",0.296,0.109,0.891,0.0,13
113,@CBS,Thu Sep 20 21:38:21 +0000 2018,RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,0.6467,0.157,0.843,0.0,14
114,@CBS,Thu Sep 20 16:47:26 +0000 2018,RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,0.0,0.0,1.0,0.0,15
115,@CBS,Wed Sep 19 19:07:37 +0000 2018,The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom.… https://t.co/xVmH5Iyfvs,-0.0531,0.176,0.588,0.236,16
116,@CBS,Tue Sep 18 17:04:20 +0000 2018,RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,0.6486,0.209,0.791,0.0,17
117,@CBS,Mon Sep 17 22:01:52 +0000 2018,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",0.9642,0.527,0.473,0.0,18
118,@CBS,Mon Sep 17 21:41:20 +0000 2018,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,0.0,0.0,1.0,0.0,19
119,@CBS,Mon Sep 17 19:18:37 +0000 2018,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,0.3612,0.263,0.737,0.0,20
120,@CBS,Sun Sep 16 23:48:59 +0000 2018,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",-0.2263,0.0,0.909,0.091,21
121,@CBS,Sun Sep 16 14:33:46 +0000 2018,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,0.0,0.0,1.0,0.0,22
122,@CBS,Sat Sep 15 16:00:01 +0000 2018,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",-0.4322,0.07,0.771,0.159,23
123,@CBS,Fri Sep 14 18:22:59 +0000 2018,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",-0.2481,0.181,0.571,0.248,24
124,@CBS,Thu Sep 13 20:52:06 +0000 2018,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,0.0,0.0,1.0,0.0,25
125,@CBS,Thu Sep 13 20:28:06 +0000 2018,This just in... https://t.co/QG3OYF6Rfv,0.0,0.0,1.0,0.0,26
126,@CBS,Thu Sep 13 18:06:49 +0000 2018,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,0.4753,0.218,0.699,0.083,27
127,@CBS,Mon Sep 10 17:06:16 +0000 2018,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",0.0,0.0,1.0,0.0,28
